"","EndDates","EndLocation","StartDates","StartLocation"
"1",2017-07-22,"University Town",2017-07-22,"S17"
"2",2017-09-13,"Kent Ridge Bus Terminal",2017-09-13,"Computer Centre"
"3",2015-01-13,"Opp. KR MRT Station",2015-01-13,"Central Library"
"4",2016-12-06,"KR MRT Station ",2016-12-06,"Opp. KR MRT Station"
"5",2015-01-19,"KR MRT Station ",2015-01-19,"Ventus (Opp. LT13)"
"6",2016-11-17,"Opp. KR MRT Station",2016-11-17,"LT13"
"7",2015-11-26,"Opp. KR MRT Station",2015-11-26,"Central Library"
"8",2015-06-03,"COM2",2015-06-03,"KR MRT Station "
"9",2016-04-01,"Opp. KR MRT Station",2016-04-01,"Yusof Ishak House"
"10",2016-01-13,"LT29",2016-01-13,"Opp. KR MRT Station"
"11",2016-11-25,"Opp. KR MRT Station",2016-11-25,"KR MRT Station "
"12",2015-08-20,"LT29",2015-08-20,"Computer Centre"
"13",2015-06-09,"University Health Centre",2015-06-09,"Opp. KR MRT Station"
"14",2015-01-27,"PGP",2015-01-27,"University Town"
"15",2017-03-02,"COM2",2017-03-02,"Opp. Yusof Ishak House"
"16",2015-05-27,"Central Library",2015-05-27,"University Town"
"17",2017-11-01,"Opp. Hon Sui Sen Memorial Library",2017-11-01,"University Town"
"18",2017-11-26,"Computer Centre",2017-11-26,"S17"
"19",2017-08-21,"KR MRT Station ",2017-08-21,"S17"
"20",2017-09-13,"LT29",2017-09-13,"Computer Centre"
"21",2016-03-02,"University Town",2016-03-02,"KR MRT Station "
"22",2017-02-25,"Ventus (Opp. LT13)",2017-02-25,"LT29"
"23",2015-08-26,"LT29",2015-08-26,"LT29"
"24",2015-10-09,"Computer Centre",2015-10-09,"University Town"
"25",2015-09-28,"S17",2015-09-28,"House 15"
"26",2015-11-18,"Central Library",2015-11-18,"Museum"
"27",2015-02-27,"S17",2015-02-27,"KR MRT Station "
"28",2015-11-10,"KR MRT Station ",2015-11-10,"Opp. KR MRT Station"
"29",2015-05-21,"Ventus (Opp. LT13)",2015-05-21,"Computer Centre"
"30",2015-07-04,"KR MRT Station ",2015-07-04,"S17"
"31",2017-11-08,"COM2",2017-11-08,"KR MRT Station "
"32",2017-04-13,"S17",2017-04-13,"Opp. KR MRT Station"
"33",2016-06-08,"University Town",2016-06-08,"Opp. KR MRT Station"
"34",2017-05-02,"KR MRT Station ",2017-05-02,"Carpark 11 (BIZ)"
"35",2016-10-04,"COM2",2016-10-04,"KR MRT Station "
"36",2015-08-17,"Central Library",2015-08-17,"LT29"
"37",2017-11-17,"Computer Centre",2017-11-17,"Kent Ridge Bus Terminal"
"38",2015-07-07,"Kent Ridge Bus Terminal",2015-07-07,"COM2"
